Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
365,436812;365,436868;0,000056;;0,000019;3,7E-05;0,000018
365,436868;365,436905;0,000037;;-0,000032;6,9E-05;0,000101
365,436905;365,436974;0,000069;;0,000047;2,2E-05;-0,000025
365,436974;365,436996;0,000022;;-0,000516;0,000538;0,001054
365,436996;365,437534;0,000538;;-0,014421;0,014959;0,029380
365,437534;365,452493;0,014959;;0,014705;0,000254;-0,014451
365,452493;365,452747;0,000254;;-0,362816;0,36307;0,725886
365,452747;365,815817;0,363070;;0,362956;0,000114;-0,362842
365,815817;365,815931;0,000114;;-0,000213;0,000327;0,000540
365,815931;365,816258;0,000327;;0,000293;3,4E-05;-0,000259
365,816258;365,816292;0,000034;;-0,024579;0,024613;0,049192
365,816292;365,840905;0,024613;;0,024524;8,9E-05;-0,024435
365,840905;365,840994;0,000089;;-0,014174;0,014263;0,028437
365,840994;365,855257;0,014263;;-0,128326;0,142589;0,270915
365,855257;365,997846;0,142589;;0,034398;0,108191;0,073793
365,997846;366,106037;0,108191;;-0,103058;0,211249;0,314307
366,106037;366,317286;0,211249;;0,211168;8,1E-05;-0,211087
366,317286;366,317367;0,000081;;-0,000536;0,000617;0,001153
366,317367;366,317984;0,000617;;-0,290158;0,290775;0,580933
366,317984;366,608759;0,290775;;0,290706;6,9E-05;-0,290637
366,608759;366,608828;0,000069;;-0,000524;0,000593;0,001117
366,608828;366,609421;0,000593;;-0,039688;0,040281;0,079969
366,609421;366,649702;0,040281;;0,039670;0,000611;-0,039059
366,649702;366,650313;0,000611;;0,000372;0,000239;-0,000133
366,650313;366,650552;0,000239;;0,000003;0,000236;0,000233
366,650552;366,650788;0,000236;;0,000232;4E-06;-0,000228
366,650788;366,650792;0,000004;;-0,267614;0,267618;0,535232
366,650792;366,918410;0,267618;;0,267010;0,000608;-0,266402
366,918410;366,919018;0,000608;;-0,081051;0,081659;0,162710
366,919018;367,000677;0,081659;;0,081499;0,00016;-0,081339
367,000677;367,000837;0,000160;;0,000091;6,9E-05;-0,000022
367,000837;367,000906;0,000069;;-0,000969;0,001038;0,002007
367,000906;367,001944;0,001038;;-0,020556;0,021594;0,042150
367,001944;367,023538;0,021594;;0,005277;0,016317;0,011040
367,023538;367,039855;0,016317;;0,016122;0,000195;-0,015927
367,039855;367,040050;0,000195;;-0,014157;0,014352;0,028509
367,040050;367,054402;0,014352;;0,014313;3,9E-05;-0,014274
367,054402;367,054441;0,000039;;-0,194846;0,194885;0,389731
367,054441;367,249326;0,194885;;0,148504;0,046381;-0,102123
367,249326;367,295707;0,046381;;-0,015519;0,0619;0,077419
367,295707;367,357607;0,061900;;0,045280;0,01662;-0,028660
367,357607;367,374227;0,016620;;-0,032219;0,048839;0,081058
367,374227;367,423066;0,048839;;0,030979;0,01786;-0,013119
367,423066;367,440926;0,017860;;0,007591;0,010269;0,002678
367,440926;367,451195;0,010269;;0,010266;3E-06;-0,010263
367,451195;367,451198;0,000003;;-0,035822;0,035825;0,071647
367,451198;367,487023;0,035825;;-0,288410;0,324235;0,612645
367,487023;367,811258;0,324235;;0,309614;0,014621;-0,294993
367,811258;367,825879;0,014621;;0,014397;0,000224;-0,014173
367,825879;367,826103;0,000224;;-0,009270;0,009494;0,018764
367,826103;367,835597;0,009494;;0,009430;6,4E-05;-0,009366
367,835597;367,835661;0,000064;;-0,370669;0,370733;0,741402
367,835661;368,206394;0,370733;;0,340624;0,030109;-0,310515
368,206394;368,236503;0,030109;;0,030035;7,4E-05;-0,029961
368,236503;368,236577;0,000074;;-0,135403;0,135477;0,270880
368,236577;368,372054;0,135477;;-0,003527;0,139004;0,142531
368,372054;368,511058;0,139004;;-0,083384;0,222388;0,305772
368,511058;368,733446;0,222388;;0,222257;0,000131;-0,222126
368,733446;368,733577;0,000131;;-0,000294;0,000425;0,000719
368,733577;368,734002;0,000425;;-0,158969;0,159394;0,318363
368,734002;368,893396;0,159394;;0,159284;0,00011;-0,159174
368,893396;368,893506;0,000110;;-0,000407;0,000517;0,000924
368,893506;368,894023;0,000517;;-0,234605;0,235122;0,469727
368,894023;369,129145;0,235122;;0,235026;9,6E-05;-0,234930
369,129145;369,129241;0,000096;;-0,000442;0,000538;0,000980
369,129241;369,129779;0,000538;;0,000505;3,3E-05;-0,000472
369,129779;369,129812;0,000033;;-0,111814;0,111847;0,223661
369,129812;369,241659;0,111847;;0,111764;8,3E-05;-0,111681
369,241659;369,241742;0,000083;;-0,000027;0,00011;0,000137
369,241742;369,241852;0,000110;;0,000092;1,8E-05;-0,000074
369,241852;369,241870;0,000018;;-0,031727;0,031745;0,063472
369,241870;369,273615;0,031745;;0,031683;6,2E-05;-0,031621
369,273615;369,273677;0,000062;;-0,003888;0,00395;0,007838
369,273677;369,277627;0,003950;;0,003889;6,1E-05;-0,003828
369,277627;369,277688;0,000061;;-0,000447;0,000508;0,000955
369,277688;369,278196;0,000508;;0,000476;3,2E-05;-0,000444
369,278196;369,278228;0,000032;;-0,000204;0,000236;0,000440
369,278228;369,278464;0,000236;;0,000212;2,4E-05;-0,000188
369,278464;369,278488;0,000024;;-0,000314;0,000338;0,000652
369,278488;369,278826;0,000338;;0,000154;0,000184;0,000030
369,278826;369,279010;0,000184;;-0,000026;0,00021;0,000236
369,279010;369,279220;0,000210;;-0,012417;0,012627;0,025044
369,279220;369,291847;0,012627;;0,009277;0,00335;-0,005927
369,291847;369,295197;0,003350;;0,003297;5,3E-05;-0,003244
369,295197;369,295250;0,000053;;-0,152844;0,152897;0,305741
369,295250;369,448147;0,152897;;0,152791;0,000106;-0,152685
369,448147;369,448253;0,000106;;-0,000350;0,000456;0,000806
369,448253;369,448709;0,000456;;-0,188397;0,188853;0,377250
369,448709;369,637562;0,188853;;0,188789;6,4E-05;-0,188725
369,637562;369,637626;0,000064;;-0,000016;8E-05;0,000096
369,637626;369,637706;0,000080;;0,000051;2,9E-05;-0,000022
369,637706;369,637735;0,000029;;-0,004714;0,004743;0,009457
369,637735;369,642478;0,004743;;0,004686;5,7E-05;-0,004629
369,642478;369,642535;0,000057;;-0,002410;0,002467;0,004877
369,642535;369,645002;0,002467;;0,002398;6,9E-05;-0,002329
369,645002;369,645071;0,000069;;-0,015440;0,015509;0,030949
369,645071;369,660580;0,015509;;-0,002224;0,017733;0,019957
369,660580;369,678313;0,017733;;-0,101309;0,119042;0,220351
369,678313;369,797355;0,119042;;0,118977;6,5E-05;-0,118912
369,797355;369,797420;0,000065;;-0,000029;9,4E-05;0,000123
369,797420;369,797514;0,000094;;-0,001326;0,00142;0,002746
369,797514;369,798934;0,001420;;0,001226;0,000194;-0,001032
369,798934;369,799128;0,000194;;-0,000066;0,00026;0,000326
369,799128;369,799388;0,000260;;0,000200;6E-05;-0,000140
369,799388;369,799448;0,000060;;-0,010920;0,01098;0,021900
369,799448;369,810428;0,010980;;-0,002789;0,013769;0,016558
369,810428;369,824197;0,013769;;0,013690;7,9E-05;-0,013611
369,824197;369,824276;0,000079;;-0,000098;0,000177;0,000275
369,824276;369,824453;0,000177;;-0,034601;0,034778;0,069379
369,824453;369,859231;0,034778;;-0,024421;0,059199;0,083620
369,859231;369,918430;0,059199;;0,054903;0,004296;-0,050607
369,918430;369,922726;0,004296;;0,003954;0,000342;-0,003612
369,922726;369,923068;0,000342;;-0,049118;0,04946;0,098578
369,923068;369,972528;0,049460;;-0,175555;0,225015;0,400570
369,972528;370,197543;0,225015;;0,133303;0,091712;-0,041591
370,197543;370,289255;0,091712;;0,050049;0,041663;-0,008386
370,289255;370,330918;0,041663;;-0,110159;0,151822;0,261981
370,330918;370,482740;0,151822;;0,110567;0,041255;-0,069312
370,482740;370,523995;0,041255;;-17,681510;17,722765;35,404275
370,523995;388,246760;17,722765;;17,185065;0,5377;-16,647365
388,246760;388,784460;0,537700;;-0,493423;1,031123;1,524546
388,784460;389,815583;1,031123;;1,031043;8E-05;-1,030963
